gene_length,folding_energy_80,folding_energy_70,length of 5prime utr,kozak score,N1,N4,in_frame AUG
503,-18.9,-7.2,50,3,1,1,0
451,-8.7,-10.2,197,6,1,3,1
434,-12.9,-10.4,33,5,3,1,0
428,-18.8,-17.5,46,5,3,1,0
347,-9.1,-4.8,33,3,2,4,0
1380,-16.5,-10.6,492,6,1,1,2
514,-13.8,-12.7,28,6,1,1,0
290,-12.2,-12.2,24,5,4,1,0
249,-4.2,-4.2,31,7,4,1,0
1273,-12.2,-10.2,108,6,1,3,0
1519,-8.1,-10.1,270,6,4,3,0
350,-14.6,-11.9,55,6,2,1,0
616,-7.2,-10.3,83,8,1,1,0
574,-13.1,-10.9,54,6,4,1,0
411,-14.6,-8.3,49,7,1,3,0
855,-14.8,-8.9,65,4,3,1,0
555,-10.9,-7.2,43,6,2,1,0
524,-10.1,-12.8,109,6,1,3,0
220,-6.2,-4.6,143,5,2,1,0
205,0,-1.1,13,4,2,1,0
252,-4.9,-12.1,340,9,1,1,1
943,-8.6,-10,75,3,1,2,0
825,-12.2,-5.3,86,3,2,3,0
195,-12.3,-15.3,14,5,3,1,0
826,-17,-12.5,64,3,3,1,0
207,-6,-6,31,3,4,3,0
247,-11.2,-5.2,102,8,3,1,0
445,-20.3,-12,276,5,2,2,3
243,-11,-8,35,3,1,3,0
336,-12.9,-7.9,54,3,3,3,0
477,-10.1,-6.1,37,4,4,3,0
606,-12.3,-3.7,70,4,1,4,0
288,-9.5,-5.1,87,5,1,1,0
528,-12.8,-16.7,682,5,3,1,2
253,-6.1,-6.1,21,8,1,3,0
134,-3.7,-0.7,45,4,2,1,0
623,-11.5,-7.3,89,3,3,2,0
377,-8.5,-6.3,48,5,1,1,0
528,-7.4,-3.7,38,5,1,3,0
474,-13,-5.4,255,3,2,1,2
872,-11.7,-9.2,38,6,2,1,0
780,-3.8,-7.9,149,3,3,2,0
389,-17,-10.2,72,8,4,1,0
433,-8.9,-18.3,125,3,4,3,0
361,-5.4,-5.8,20,7,1,3,0
132,-12.4,-13.3,42,3,2,1,0
1094,-12.7,-12.7,28,3,4,1,0
493,-10.9,-10.9,21,5,4,4,0
346,-1.2,-1.2,29,7,2,1,0
1933,-14.5,-7.3,116,6,1,1,0
1308,-7,-7.3,185,5,3,1,2
547,-9,-7.6,31,5,3,1,0
292,-7.6,-9,20,7,4,1,0
437,-8.8,-11.1,25,6,2,3,0
441,-10.7,-8,97,6,1,1,0
202,-7.3,-7.9,44,2,3,3,0
409,-10.7,-6.6,61,5,3,1,0
965,-8.6,-8.6,26,7,1,1,0
142,-7.9,-3.5,59,6,4,3,0
765,-17.1,-8.2,66,7,1,1,0
423,-16.1,-10.9,76,5,3,1,0
218,-13,-13.6,23,4,2,3,0
297,-8,-8,22,3,3,1,0
210,-3,-3,17,4,2,1,0
201,-8.5,-8.5,27,6,3,1,0
239,-13.3,-3.6,100,6,3,1,0
138,-5.5,-5.1,31,7,3,1,0
384,-4.6,-3,35,5,4,1,0
116,-4.1,-6.7,216,7,1,1,1
241,-7.3,-7.3,20,6,1,1,0
1083,-14.4,-0.9,77,4,4,1,0
449,-15.5,-12.1,51,4,2,4,0
624,-9,-12.9,25,6,4,2,0
1350,-18.7,-12.7,60,2,2,4,1
431,-8.4,-7.1,59,4,2,3,0
641,-7.7,-8.7,21,9,1,1,1
711,-9.6,-7.1,30,3,3,3,0
203,-11.2,-7.6,47,5,2,1,0
211,-8.5,-8.5,38,4,2,3,0
187,-9.8,-2.8,77,6,4,4,1
256,-7.4,-7.4,27,5,4,1,0
615,-7.2,-4.5,283,6,1,1,0
298,-6.3,-6.3,24,6,1,3,0
492,-11.3,-6.2,187,4,2,3,1
781,-17.6,-11.9,58,5,4,1,0
757,-17,-6.6,173,6,2,3,0
647,-8.8,-11.8,60,3,3,1,0
255,-7.1,-7.1,33,7,4,1,0
298,-9.2,-7.9,32,5,3,1,0
422,-12.5,-11.9,33,6,2,1,0
349,-3,-2.8,39,7,2,1,0
205,-5.9,-5.9,26,4,2,3,0
657,-18.2,-11.5,178,7,2,1,1
504,-13.8,-1.5,94,4,1,2,0
337,-10.4,-8.2,65,3,4,1,0
270,-17,-19.6,22,2,4,1,0
438,-5.7,-11.6,321,7,4,1,1
308,-7.2,-7.2,22,4,3,2,0
720,-6.5,-7.8,25,6,1,1,0
395,-10.2,-2.1,86,4,2,3,0
705,-4.8,-3.8,32,7,1,1,0
791,-13.4,-11,145,5,3,1,0
765,-9.3,-9,164,3,1,1,3
578,-9.4,-9.4,48,6,1,3,0
364,-8.2,-8.2,27,4,4,2,0
231,-16.3,-5,84,6,1,1,0
247,-7.4,-4.5,63,8,1,3,0
461,-5.1,-3.9,48,6,2,1,0
234,-8.2,-5.6,32,8,2,1,0
250,-5.4,-12.7,275,7,1,1,0
869,-17,-8.6,135,4,3,4,2
484,-16.1,-12,62,3,2,2,0
1018,-8.8,-12.4,66,4,4,1,0
810,-9.7,-9.6,30,8,1,1,0
395,-9.2,-8.1,33,6,3,1,0
187,-5.2,-9.5,19,6,2,1,0
573,-8.5,-5.2,36,7,2,1,0
345,-7.3,-13.8,238,8,4,1,1
479,-1.8,-22.9,153,4,2,3,1
625,-11.3,-5.6,190,6,1,1,1
1057,-8.1,-5.3,92,6,3,1,0
127,-8.9,-8.5,91,8,2,1,0
245,-12.6,-13.2,54,2,3,3,0
1342,-16.5,-1.7,165,5,1,1,0
3269,-12.8,-6.6,115,3,1,2,0
215,-11.4,-10.5,103,1,4,3,0
392,-14.1,-7.1,62,3,2,2,0
387,-9.3,-8,64,6,1,1,0
362,-13.8,-12.4,34,5,2,1,0
248,-6.9,-8.7,75,5,2,1,0
664,-10.8,-9.3,125,8,1,1,1
594,-8.4,-7.5,28,5,1,1,0
523,-8.5,-5.5,39,4,4,3,0
571,-11.7,-7.2,71,6,1,1,0
367,-9.2,-8.4,41,3,2,1,0
273,-10.7,-3.5,80,7,2,1,0
194,-13.4,-12.5,60,3,4,2,0
189,-17,-11.3,38,7,4,1,0
550,-12.8,-7.1,290,3,2,4,2
589,-12.7,-10.4,45,6,2,1,0
829,-16.9,-11.3,144,2,2,3,0
558,-9.1,-9.1,32,3,3,1,0
799,-7.2,-6.3,80,7,1,1,0
539,-11.6,-10.1,39,4,4,1,0
372,-16.5,-11.4,46,5,3,1,0
382,-12.1,-3.7,90,6,3,1,0
593,-5.9,-4.5,44,8,1,1,0
638,-12,-12.1,175,5,4,1,0
266,-25.1,-22.8,49,3,2,3,0
269,-10.1,-4.8,52,6,1,1,1
818,-5,-5,21,6,2,1,0
292,-7.7,-7,35,7,2,1,1
261,-13.4,-7.5,49,5,2,1,0
362,-10.5,-5.5,51,8,1,1,0
553,-9,-4.6,65,5,1,1,0
317,-4.3,-8.1,156,8,1,1,0
233,-18.7,-14.7,78,6,2,1,0
225,-14.4,-6.4,150,2,4,2,0
275,-4,-5.6,18,5,3,1,0
