gene_length,folding_energy_80,folding_energy_70,length of 5prime utr,kozak score,N1,N4,in_frame AUG
251,-5.7,-5.7,27,2,2,1,0
338,-14.3,-7,124,3,3,3,0
577,-12.7,-7.3,74,5,2,4,0
128,-5.8,-3.6,29,6,2,1,0
421,-7.1,-6.4,73,9,1,1,0
333,-5.4,-3.4,75,8,1,1,0
1209,-10.5,-6.1,45,4,2,4,0
315,-6.4,-6.5,171,3,3,1,0
214,-10.4,-10.3,116,5,1,1,0
665,-9.3,-13,24,5,2,2,0
756,-12.7,-12.3,52,4,1,2,0
463,-9.9,-10.2,26,6,4,1,0
194,-7,-7.6,21,4,2,1,0
320,-7.4,-7.4,30,6,2,1,0
2168,-3.4,-5.5,63,4,1,3,0
1083,-14.6,-14.6,32,4,2,3,0
186,-15.5,-11.3,48,3,3,3,1
437,-7.4,-4.1,92,7,4,1,0
200,-8.6,-10.4,179,7,1,1,0
1496,-12.1,-6,394,7,1,1,1
317,-15.7,-9.6,147,5,2,1,0
598,-10.2,-6.1,183,3,1,3,0
437,-11.1,-5.2,40,6,1,1,0
586,-9.5,-12.2,17,3,3,3,0
573,-10.2,-14.4,234,2,2,4,0
1637,-8.4,-9.7,104,3,2,4,0
729,-10.2,-7.1,196,4,2,1,0
376,-10.3,-10.4,269,5,2,1,0
292,-4.1,-3.1,35,3,2,4,0
413,-16,-12,45,5,2,1,0
381,-6.5,-5.4,33,4,2,1,0
495,-6,-9.4,209,5,1,3,0
147,-5.5,-7,24,8,1,1,0
1278,-12.6,-11.6,125,5,1,2,0
797,-21.9,-17.9,43,5,4,3,0
408,-13.1,-13.8,25,4,2,3,0
619,-5.9,-4.2,42,5,2,3,0
151,-10.3,-9.4,62,6,4,1,0
180,-11.9,-3.9,63,3,1,1,0
126,-12.5,-12.5,30,8,1,1,0
474,-13.4,-2.1,85,4,2,1,0
659,-11.3,-9.3,47,4,2,1,1
374,-14.1,-13.3,142,5,3,1,0
300,-8.9,-16.9,88,8,1,1,0
237,-7.8,-7.8,31,6,2,1,0
329,-6.8,-2.6,45,7,1,1,0
539,-7,-3.8,55,8,1,1,0
555,-4.18,-4.1,43,7,4,1,0
339,-11.2,-13.3,103,8,1,1,1
744,-13.5,-16,47,5,1,3,0
402,-12.7,-14.2,353,2,2,4,0
650,-4.6,-7.8,365,6,2,1,0
1620,-14.5,-11.9,88,4,2,4,0
270,-5.9,-8.2,803,3,2,2,5
634,-9.9,-4,113,5,3,1,0
329,-10.5,-11.2,26,4,3,3,0
375,-7,-3.8,55,7,1,2,1
972,-9,-8.8,53,3,2,1,0
313,-4.9,-3.7,46,8,1,1,0
762,-7.3,-2.4,388,1,2,3,0
838,-3,-3.9,48,6,3,1,0
1026,-9.8,-8,82,4,2,3,0
550,-11.7,-11.4,271,6,2,1,3
280,-8.6,-7.2,33,6,3,1,0
294,-13.7,-10.8,64,4,2,2,0
255,-8.8,-7.2,50,4,4,1,0
397,-3,-3.3,14,8,1,1,0
431,-10.7,-11.7,43,4,2,1,0
833,-7.7,-16.2,432,5,1,1,0
246,-10.5,-12.7,22,5,1,3,0
495,-16.4,-6.9,75,5,3,4,0
481,-7.7,-7.4,206,6,2,1,0
322,-14.1,-10.5,114,7,1,1,0
529,-7.2,-7.2,30,3,2,3,0
672,-8.5,-14.8,13,7,4,1,0
563,-4.8,-5.1,232,7,1,1,0
1049,-13.7,-9.2,63,4,2,2,0
550,-6,-5.3,265,4,4,2,1
441,-15,-13.6,52,5,1,1,0
206,-10.6,-10.6,26,6,1,1,0
133,-7.5,-7.5,29,6,2,1,0
118,-3.9,-5.9,776,3,4,2,6
190,-10.1,-11.2,67,7,2,1,0
223,-10.6,-5.5,139,4,2,2,0
573,-18.2,-8.9,55,5,4,1,0
216,-13.9,-15.2,72,4,3,1,0
1291,-7.6,-7.6,43,5,2,3,0
597,-7.3,-7.3,31,5,1,4,0
429,-1.6,-3.58,59,5,3,1,0
276,-6.5,-4.4,71,5,3,1,0
184,-7.6,-2.7,48,4,2,1,0
2223,-7.3,-7.7,15,4,1,2,0
285,-13.4,-7.1,41,7,1,1,0
361,-14.4,-7.7,63,1,3,2,0
112,-14.7,-0.7,237,4,4,2,0
204,-7.8,-7.6,47,6,2,2,0
168,-6.5,-10.5,158,5,3,1,0
178,-7.3,-8,85,5,1,3,0
418,-11.1,-3.5,90,6,2,1,0
341,-10.5,-19.7,206,7,3,1,1
321,-4.8,-12.5,151,7,1,3,0
377,-11.3,-10.6,43,8,1,4,0
1575,-12.8,-5.9,192,6,4,1,0
953,-10.5,-8.5,41,6,1,1,0
168,-7.2,-1.5,109,6,1,1,1
438,-6,-4.5,39,8,1,1,0
865,-8,-5,410,3,2,2,2
1478,-20.3,-12.5,228,5,1,1,0
508,-10.7,-5.1,160,6,2,1,0
1631,-14.3,-10.3,245,4,2,3,0
381,-10.9,-10.8,84,4,2,1,0
250,-15.4,-12,147,3,4,2,0
773,-15.1,-0.5,88,8,1,1,0
767,-5.8,-1.5,206,6,3,1,0
1680,-5.9,-4.8,55,2,2,2,0
394,-12.3,-12.3,23,6,2,1,0
255,-5.6,-1.8,64,7,2,1,0
483,-7.3,-7.3,33,5,4,1,0
140,-23.7,-18,44,2,2,2,0
1148,-10.9,-5.2,526,6,2,1,1
840,-14.7,-6.7,247,6,4,1,1
151,-4.7,-3.3,59,9,1,1,0
398,-10.9,-7.8,66,7,1,1,0
289,-5.5,-6.6,100,7,1,2,0
595,-7.8,-9.9,118,5,2,1,0
78,-10.6,-2.8,60,7,4,1,1
916,-13.1,-10,74,5,3,2,0
817,-9,-9.3,104,5,4,1,0
514,-10.7,-7.9,35,5,1,1,0
226,-8.9,-11.2,22,7,4,1,0
713,-14.1,-7.8,72,4,2,1,1
311,-11.7,-6.5,42,7,1,2,0
137,-4.5,-2,69,5,2,1,0
374,-11.9,-20.9,15,6,4,1,0
217,-11.2,-13.7,112,3,2,4,1
458,-5.2,-7,196,7,1,1,0
671,-16,-15.9,95,1,4,2,0
523,-15.2,-13.2,49,4,3,3,0
307,-6.8,-6.8,24,5,3,3,0
248,-5.5,-3.9,39,5,1,1,0
300,-4,-5.3,166,4,2,1,0
835,-14.3,-9,75,4,3,3,0
547,-8.5,-10.3,48,6,1,1,0
713,-5.6,-5.6,24,7,4,1,0
396,-7.4,-6.9,88,7,2,1,0
501,-3.9,-3.9,28,9,1,1,0
158,-12.8,-7.9,247,4,1,1,0
417,-13.2,-6,42,9,1,1,0
710,-16.8,-12.4,151,6,1,1,0
109,-7.1,-10,20,5,1,3,0
974,-13.6,-8.4,140,4,3,4,0
184,-9.4,-7.5,97,3,3,3,0
348,-6.7,-6.7,27,4,3,3,0
500,-3.1,-3.6,72,7,1,1,0
182,-11.6,-18.2,187,3,1,3,0
277,-8.4,-11.2,116,5,2,1,0
246,-12.1,-5.6,62,5,3,1,0
432,-7.2,-5.9,31,8,2,1,0
178,-13.2,-10.6,34,6,4,4,0
81,-5.8,-10.8,107,8,1,1,0
2010,-9.7,-10.7,273,5,2,4,0
794,-11.1,-14.5,21,4,2,1,0
175,-13.8,-10,52,5,1,1,0
695,-16.3,-7.8,228,8,1,1,0
195,-12.2,-2.8,68,3,3,3,0
146,-8.7,-8.7,24,6,1,1,0
495,-10.1,-12.6,78,7,1,3,0
1036,-8.8,-11.8,261,5,4,1,0
198,-9.2,-5.9,62,3,4,2,0
520,-13.2,-12.3,107,4,3,2,0
379,-7.8,-7,34,3,4,1,0
220,-8.8,-7.8,50,4,1,3,1
268,-4.4,-3.3,40,8,1,1,0
127,-8.8,-12,14,4,3,1,0
800,-15.5,-14.1,48,5,1,1,0
621,-12.6,-9.6,103,6,1,1,0
493,-15.1,-6.3,81,3,4,1,2
752,-9,-7.8,53,7,1,1,0
104,-2.5,-7.5,56,8,1,1,0
641,-10.1,-7.3,86,6,4,3,1
555,-15,-14.9,71,3,4,1,0
501,-7.6,-5.8,31,8,4,1,0
524,-8.8,-8.8,107,6,1,3,0
312,-11.1,-9.3,92,3,3,3,0
1231,-11.9,-9.2,211,5,4,1,0
311,-17,-9,136,5,2,3,1
338,-6,-6.9,21,6,1,3,0
665,-11.5,-9.7,208,5,1,1,0
168,-4.7,-14.3,113,3,3,1,0
1018,-6.4,-8.7,53,4,2,2,0
343,-7.7,-4.6,78,6,1,1,0
395,-4.1,-3.3,39,7,2,1,0
76,-5.7,-5.2,34,5,1,4,0
225,-12.3,-7.2,89,3,4,1,0
476,-17.4,-9.2,53,6,4,1,0
557,-15,-15,30,3,3,3,0
623,-6.9,-6.9,31,9,1,1,1
546,-8.7,-0.1,176,6,4,1,0
330,-4.9,-1.11,51,5,1,1,0
894,-18.8,-8.8,79,6,2,4,0
1357,-7.2,-9.6,368,5,3,3,0
394,-7.8,-6,125,5,2,1,0
422,-14.3,-13.6,34,3,3,3,1
132,-2.7,-2.7,25,6,4,4,0
421,-7.6,-8.7,66,8,4,3,0
302,-8.5,-8.5,21,5,2,1,0
377,-9.2,-9,423,4,4,1,0
1175,-12.9,-9,69,5,3,1,0
724,-10.3,-8.5,35,3,2,1,0
1593,-15.6,-2.8,102,3,4,1,2
227,-4.3,-7.2,84,7,2,2,0
869,-10.3,-5.6,55,6,2,3,0
503,-12.8,-6.9,54,6,2,1,0
787,-23.6,-8.7,122,3,2,2,1
325,-5,-9.8,78,6,3,1,0
1649,-7,-10,63,5,4,1,0
655,-9.2,-6.7,140,6,1,1,0
599,-14.9,-8.4,136,6,1,1,0
377,-12.9,-0.9,101,7,3,1,0
683,-16.9,-12.3,39,5,4,1,0
115,-4.6,-4.6,19,7,3,1,0
619,-4.1,-8.6,196,5,1,4,0
487,-13.3,-14,95,5,3,1,0
579,-13.7,-7.5,52,4,3,3,0
552,-3.4,-3,48,3,2,1,0
621,-7.8,-11.5,356,6,1,3,0
833,-15.7,-9.6,43,7,1,1,0
331,-8.5,-10.4,133,5,3,4,0
553,-11.4,-4.1,177,5,4,1,1
197,-10.2,-10.7,137,6,2,1,0
415,-8.4,-10,17,7,1,1,0
262,-9.5,-9.5,35,6,1,4,0
165,-3.6,-10.2,19,4,3,4,0
1684,-13.3,-5.7,96,5,1,3,0
636,-8.4,-10.7,256,4,3,1,1
355,-5.9,-1.7,56,5,2,1,0
679,-10.4,-16,152,6,1,1,0
264,-4.7,-4.7,79,4,1,1,0
378,-3.1,-4.6,170,6,1,1,1
664,-17.5,-8.3,130,7,4,1,1
310,-7.2,-9.8,75,6,1,3,0
188,-8.3,-8.3,23,6,4,1,0
1041,-7.3,-8.9,322,6,1,1,0
291,-4,-6.7,79,6,1,3,0
551,-10.5,-14.3,197,7,1,4,0
229,-7.7,-9.7,245,4,2,1,0
253,-9,-8.5,200,7,1,1,1
171,-11.4,-12.8,23,4,3,4,0
524,-12.7,-10.3,69,3,2,2,0
79,-2.9,-2.9,23,7,3,1,0
675,-4.5,-4.5,35,4,1,4,0
769,-13.3,-4,65,2,4,3,0
732,-11.2,-6.6,117,6,2,1,0
295,-7.5,-7.5,31,5,1,1,0
707,-13.9,-5.7,71,4,2,1,0
60,-7.4,-5,48,6,1,3,0
362,-7.3,-3.2,150,5,2,1,0
173,-8.8,-6.1,59,7,1,3,0
251,-15.5,-6.3,63,3,3,3,0
283,-11.1,-4.2,93,5,2,1,1
258,-7.4,-4.6,134,4,1,1,0
519,-16.4,-9.2,195,5,2,4,0
552,-16.8,-9.2,143,3,1,3,0
1026,-10,-13.7,114,2,2,3,0
432,-12,-11.1,111,2,4,2,0
117,-6.2,-6.2,29,3,2,3,0
669,-17.8,-15.8,89,6,4,1,1
458,-9.4,-4.5,66,5,1,1,0
822,-8.3,-8.9,72,3,2,2,0
312,-8.8,-6.3,48,7,4,1,0
107,-7.1,-5.8,97,6,1,1,0
401,-6.7,-8.9,55,5,4,4,0
560,-8.5,-7.4,65,5,2,3,0
310,-8.9,-8.9,23,5,2,1,0
701,-8.9,-6.9,163,7,1,1,0
371,-8.7,.0.00,80,7,1,1,0
902,-8.1,-11.6,18,3,3,4,0
428,-17.5,-5,243,7,1,1,0
732,-15.4,-7.6,74,2,3,4,0
604,-8.2,-4.3,138,7,2,1,0
342,-3.9,-3.8,77,5,2,1,0
356,-11.2,-3.4,68,8,1,1,0
239,-16.8,-12.2,34,4,4,1,0
936,-4.4,-7.4,190,8,1,1,0
449,-14,-8.6,43,4,3,1,0
628,-15.2,-10.3,39,3,3,4,0
315,-14.2,-7.4,196,6,2,1,0
232,-7.9,-20.9,155,4,3,1,0
326,-5.7,-6.7,269,6,1,3,0
914,-8,-12.8,215,6,1,1,0
381,-12.8,-8.3,163,4,3,3,0
381,-16.8,-9.2,38,8,1,1,0
340,-5.3,-3.1,109,3,2,1,0
456,-9,-1.8,138,8,1,1,0
298,-8.8,-11.1,117,5,1,4,0
281,-12.4,-7.4,147,4,3,1,0
383,-8.3,-2.6,57,6,3,1,0
1143,-3.4,-5.7,526,4,2,1,0
1877,-10.1,-3.6,258,3,4,1,0
182,-7,-7,23,6,1,1,0
292,-16.3,-11.3,40,1,2,3,0
482,-6.2,-14.2,158,6,1,1,0
308,-8.9,-8.9,29,5,3,1,0
1197,-7.9,-7,31,6,4,1,0
154,-6.5,-6.3,36,4,2,1,0
707,-11.4,-10.3,68,6,1,3,0
281,-7.9,-9.8,22,5,1,4,0
103,-3.9,-2.5,93,5,1,1,0
393,-13.6,-14.2,53,4,3,1,0
200,-9.7,-10.3,22,6,1,1,0
1133,-11.5,-8,200,5,1,3,0
648,-12.2,-5.9,52,6,3,1,0
282,-18.1,-9,129,5,1,3,0
641,-7.5,-9.9,93,2,3,2,0
480,-13.3,-3.4,72,7,1,1,0
139,-9.1,-12.9,224,6,1,1,0
546,-10.2,-5.5,298,6,1,1,0
114,-6.5,-7.1,18,2,1,3,0
396,-13.8,-5,68,8,1,3,0
294,-17.2,-8.9,72,5,3,1,0
400,-1.7,-2.6,21,5,2,1,0
378,-22.8,-8.3,164,7,1,1,0
1359,-11.9,-6,124,5,1,2,0
779,-12.1,-7.9,40,4,2,1,0
1139,-13.6,-14.4,57,4,1,1,0
721,-6.6,-7.4,284,5,1,4,0
882,-4.7,-5.8,23,5,4,1,0
220,-4.4,-10.9,87,5,1,2,0
327,-10.9,-10.4,105,4,3,1,0
763,-12.1,-10.8,51,5,2,2,0
112,-3.9,-3.9,36,7,2,1,0
607,-8.7,-12.3,24,4,1,2,0
826,-11.9,-7.6,168,3,2,3,0
579,-8.9,-14,22,3,4,1,0
623,-6.75,-6.8,290,5,2,1,0
414,-7.4,-0.4,55,5,1,1,0
519,-14.3,-9.9,119,4,4,1,0
290,-9.4,-9.4,22,7,3,1,0
664,-4.9,-1.6,46,4,4,1,0
609,-11.6,-5.6,74,7,1,1,0
1585,-8,-8,29,4,2,1,0
394,-3.5,-7.8,21,5,3,1,0
932,-14.1,-12,57,7,4,4,0
153,-4,-7,216,4,1,4,1
376,-16.4,-13.8,167,6,3,4,0
243,-17.1,-4.8,80,6,4,1,2
305,-8.5,-9.3,72,5,1,1,0
339,-4.4,-3,33,4,1,1,0
880,-11,-5.5,272,4,3,2,0
283,-12.3,-6.7,155,5,2,1,0
514,-8.8,-4.3,60,6,1,1,0
311,-10.3,-3.2,115,2,3,2,0
747,-10.8,-3.8,100,4,3,4,0
143,-8.7,-9.8,106,6,1,1,1
632,-5,-5.1,26,4,1,3,0
345,-9.8,-1.8,315,9,1,1,0
166,-4.6,-3.2,66,6,1,4,0
233,-8.1,-11.3,125,5,3,1,0
366,-6.6,-10.9,102,7,3,1,0
972,-4.8,-3.5,80,4,2,4,0
125,-7.4,-7.4,34,5,1,1,0
216,-8.6,-13,177,6,1,1,0
383,-10.8,-7.8,132,7,1,3,0
239,-4.2,-3.37,68,5,3,1,0
243,-8.4,-4.5,41,6,1,1,0
525,-9.1,-14.1,190,6,3,1,0
275,-8.5,-6.6,101,2,4,2,0
348,-7,-4.7,242,5,2,4,2
495,-15.1,-11.4,93,3,3,3,1
919,-5.6,-9.2,237,7,1,1,0
454,-7.7,-6,153,6,1,4,0
313,-14.1,-5.3,52,4,3,2,0
396,-12.9,-12.9,37,8,1,1,0
748,-14.8,-2.7,72,3,2,2,0
543,-10,-10,23,5,3,1,0
767,-14.8,-14.1,84,4,1,1,0
1034,-8.9,-3.8,52,9,1,1,0
352,-4.3,-6.6,123,3,2,1,0
1610,-12.2,-12.9,297,3,1,3,2
233,-11.4,-9.4,39,4,1,3,0
1221,-13,-5.9,226,5,1,4,0
587,-10.3,-6.4,82,5,2,3,0
606,-12.8,-10.5,48,3,1,3,0
205,-4.4,-4.4,22,5,3,1,0
605,-6.1,-6.1,21,5,4,1,0
410,-8.3,-13.8,15,4,2,4,0
497,-12.6,-8.3,59,4,1,3,0
445,-8.9,-12.2,43,3,3,1,0
582,-11.7,-6.9,49,3,2,1,0
498,-11.8,-5.6,182,5,2,1,0
258,-10,-10.8,43,3,4,2,0
246,-12.4,-12.6,555,6,3,1,5
